time,yaw,pitch,roll
2023-04-27 13:38:12.1110,54.974,48.254,-48.981
2023-04-27 13:38:12.2110,60.815,57.593,-60.139
2023-04-27 13:38:12.3110,65.126,56.265,-64.575
2023-04-27 13:38:12.4110,72.928,57.545,-70.616
2023-04-27 13:38:12.5110,76.591,55.974,-71.93
2023-04-27 13:38:12.6090,77.299,54.825,-72.73
2023-04-27 13:38:12.7080,74.688,54.583,-71.273
2023-04-27 13:38:12.8070,72.799,53.26,-69.864
2023-04-27 13:38:12.9070,73.009,51.836,-70.04
2023-04-27 13:38:13.0130,76.057,48.888,-73.738
2023-04-27 13:38:13.1130,76.095,45.49,-75.434
2023-04-27 13:38:13.2130,73.45,43.619,-79.373
2023-04-27 13:38:13.3130,66.887,42.71,-86.467
2023-04-27 13:38:13.4130,75.595,43.641,-102.908
2023-04-27 13:38:13.5130,95.73,58.538,-127.698
2023-04-27 13:38:13.6130,23.347,82.549,-58.512
2023-04-27 13:38:13.7130,-51.874,54.721,6.765
2023-04-27 13:38:13.8130,-83.137,38.887,11.851
2023-04-27 13:38:13.9120,-94.514,33.49,16.669
2023-04-27 13:38:14.0130,-96.735,40.611,20.998
2023-04-27 13:38:14.1120,-96.842,40.776,21.997
2023-04-27 13:38:14.2120,-98.033,42.899,22.141
2023-04-27 13:38:14.3120,-98.297,45.126,21.861
2023-04-27 13:38:14.4120,-101.184,46.515,22.263
2023-04-27 13:38:14.5120,-107.101,53.338,23.985
2023-04-27 13:38:14.6120,-148.775,69.546,54.876
2023-04-27 13:38:14.7120,134.903,60.98,125.619
2023-04-27 13:38:14.8120,105.175,23.791,154.926
2023-04-27 13:38:14.9120,101.066,0.811,160.566
2023-04-27 13:38:15.0120,100.928,10.074,157.531
2023-04-27 13:38:15.1120,101.107,24.061,150.09
2023-04-27 13:38:15.2120,121.387,49.463,131.301
2023-04-27 13:38:15.3120,169.545,58.291,76.464
2023-04-27 13:38:15.4120,-151.569,48.408,35.133
2023-04-27 13:38:15.5110,-136.999,43.117,19.079
2023-04-27 13:38:15.6110,-123.931,41.904,5.104
2023-04-27 13:38:15.7110,-102.446,36.145,-15.778
2023-04-27 13:38:15.8110,-86.17,24.608,-31.126
2023-04-27 13:38:15.9110,-75.187,12.334,-38.832
2023-04-27 13:38:16.0110,-63.216,-2.282,-39.915
2023-04-27 13:38:16.1110,-49.158,-18.157,-35.468
2023-04-27 13:38:16.2110,-34.196,-30.184,-29.346
2023-04-27 13:38:16.3110,-20.02,-38.659,-21.031
2023-04-27 13:38:16.4110,-1.941,-46.109,-8.819
2023-04-27 13:38:16.5110,26.166,-41.972,9.673
2023-04-27 13:38:16.6080,35.114,-22.07,12.099
2023-04-27 13:38:16.7070,30.649,-22.701,9.478
2023-04-27 13:38:16.8060,-1.787,-46.41,-12.899
2023-04-27 13:38:16.9060,-25.093,-40.735,-22.124
2023-04-27 13:38:17.0100,-38.383,-25.023,-24.558
2023-04-27 13:38:17.1100,-57.172,-15.846,-30.476
2023-04-27 13:38:17.2100,-76.574,1.44,-29.638
2023-04-27 13:38:17.3090,-96.633,19.02,-22.176
2023-04-27 13:38:17.4090,-115.18,32.239,-11.985
2023-04-27 13:38:17.5090,-133.609,39.912,-0.049
2023-04-27 13:38:17.6090,-154.278,43.711,12.738
2023-04-27 13:38:17.7090,-172.921,42.615,24.238
2023-04-27 13:38:17.8090,174.341,39.463,33.689
