time,ax,ay,az,atotal
37.92521405220032,-3.02,-3.7,3.68,6.02
37.926624059677124,-2.3,-4.18,3.71,6.04
37.930726051330566,-0.51,-3.8,2.61,4.63
37.932116985321045,1.15,-2.53,0.74,2.87
37.93349003791809,2.58,-0.97,-1.39,3.08
37.934836864471436,4.26,-0.46,-3.03,5.24
37.936194896698,4.21,1.48,-3.92,5.93
37.93753004074097,3.94,1.93,-4.28,6.12
37.93888711929321,1.47,3.23,-3.28,4.83
37.9402871131897,-0.67,4.04,-1.83,4.48
37.9416389465332,-0.91,1.33,-0.46,1.67
37.94298696517944,-1.49,0.22,1.4,2.05
37.94708013534546,0.77,0.11,4.63,4.69
37.94843292236328,5.64,0.4,6.64,8.72
37.94976615905762,8.99,0.96,6.6,11.19
37.951098918914795,8.54,1.72,5.75,10.43
37.95242691040039,5.21,2.19,5.2,7.67
37.953763008117676,1.32,2.27,5.78,6.34
37.955119132995605,-1.57,2.34,7.3,7.82
37.956494092941284,-4.09,2.72,8.53,9.84
37.95786499977112,-5.61,2.87,8.05,10.22
37.95921993255615,-5.56,2.8,4.72,7.81
37.96064519882202,-4.41,3.07,-0.55,5.4
37.96469211578369,-2.26,3.63,-5.5,6.96
37.96607303619385,-0.6,4.16,-8.08,9.1
37.967419147491455,-0.26,4.01,-7.2,8.24
37.96879196166992,-1.06,3.12,-3.38,4.72
37.970149993896484,-2.88,1.96,1.25,3.7
37.97149419784546,-4.51,1.0,4.4,6.37
37.97283411026001,-4.93,0.36,5.04,7.05
37.9741690158844,-4.57,0.31,3.36,5.68
37.9755220413208,-3.37,0.3,0.15,3.38
37.97700905799866,-1.94,0.23,-2.36,3.06
37.98124098777771,-0.31,0.18,-3.65,3.66
37.98259687423706,1.61,-0.48,-3.66,4.02
37.983973026275635,2.85,-1.53,-2.2,3.91
37.985318183898926,1.85,-0.55,-0.15,1.93
37.98666715621948,0.43,1.11,1.72,2.09
37.988070011138916,0.7,0.08,1.7,1.84
37.98945713043213,0.21,-0.83,0.67,1.08
37.99082612991333,-0.49,-1.46,-0.69,1.68
37.99218416213989,-1.04,-1.74,-1.96,2.81
37.99355506896973,-1.66,-1.63,-3.05,3.83
37.997568130493164,-1.71,-1.57,-3.3,4.03
37.99894404411316,-1.3,-1.32,-2.51,3.11
38.00030994415283,-0.64,-1.12,-1.32,1.84
38.00168800354004,-0.2,-1.36,-0.59,1.49
38.003032207489014,-0.35,-1.63,-0.13,1.67
38.0043740272522,-0.72,-1.55,0.02,1.7
38.005735874176025,-0.52,-1.46,0.2,1.56
38.00709509849548,0.02,-1.35,0.46,1.42
38.00844717025757,0.65,-1.06,0.09,1.24
38.012468099594116,1.23,-0.42,-1.1,1.7
38.01382398605347,2.44,-0.25,-3.18,4.01
38.01518702507019,3.83,-0.96,-5.29,6.6
38.016530990600586,4.2,-1.98,-6.2,7.74
38.017879009246826,3.38,-3.03,-5.33,7.0
38.01923203468323,1.71,-4.16,-1.77,4.83
38.02057600021362,-0.13,-5.48,4.06,6.82
38.02193903923035,-0.94,-7.27,8.91,11.53
38.023308992385864,-1.04,-8.36,10.85,13.73
38.02465486526489,-1.0,-7.56,8.88,11.7
38.02865409851074,0.65,-5.48,2.33,5.99
38.03001117706299,3.57,-3.07,-5.11,6.94
38.03139114379883,4.87,-0.15,-9.79,10.93
38.03275489807129,3.1,3.24,-9.63,10.62
38.03410196304321,1.47,4.23,-5.1,6.78
38.03544521331787,1.98,0.29,1.04,2.25
38.036782026290894,-0.31,-1.66,5.44,5.69
38.038132190704346,-2.88,-2.82,7.57,8.57
38.039470195770264,-3.95,-2.99,7.79,9.23
38.04080820083618,-2.3,-1.77,5.94,6.61
38.04219388961792,1.57,-0.14,2.63,3.06
38.04645490646362,4.56,1.68,-0.81,4.92
38.04778814315796,4.94,2.94,-2.77,6.38
38.04914307594299,3.04,3.53,-2.89,5.48
38.05049204826355,0.59,3.19,-1.44,3.54
38.05182218551636,-1.61,2.44,0.76,3.02
38.053154945373535,-3.39,2.03,2.61,4.73
38.05449295043945,-3.97,1.68,3.25,5.39
38.055867195129395,-3.49,1.45,2.25,4.39
38.05722904205322,-2.29,1.4,-0.53,2.73
38.0614070892334,-0.9,1.4,-3.66,4.02
38.062761068344116,-0.28,1.76,-5.26,5.55
38.06412410736084,-1.3,2.35,-4.26,5.03
38.065489053726196,-3.03,2.85,-1.46,4.4
38.06684899330139,-4.45,3.27,1.51,5.72
38.06819701194763,-4.96,3.54,3.36,6.95
38.06954503059387,-4.02,2.74,3.71,6.11
38.070883989334106,-2.68,1.7,3.65,4.83
38.07224702835083,-1.31,0.34,3.51,3.76
38.07361316680908,-0.99,-0.53,3.03,3.23
38.07495999336243,-2.02,0.38,1.94,2.82
38.07908010482788,-2.48,1.08,-0.56,2.76
38.080414056777954,-1.13,0.84,-3.1,3.4
38.081746101379395,0.09,1.72,-4.76,5.06
38.08310103416443,1.99,3.22,-6.16,7.23
38.08443307876587,4.97,1.52,-5.18,7.33
38.085769176483154,5.37,-1.29,-2.75,6.16
38.087130069732666,2.83,-3.7,1.09,4.78
38.088501930236816,-1.01,-2.17,4.25,4.87
38.08987998962402,-1.49,-3.87,4.42,6.06
38.09389591217041,-2.14,-3.79,3.02,5.29
38.095234870910645,-0.67,-3.74,2.21,4.39
38.09658598899841,1.52,-3.34,1.29,3.88
38.09791898727417,3.18,-2.28,0.2,3.91
38.0992751121521,3.83,-1.3,-0.45,4.06
38.10061311721802,3.63,-0.45,-1.17,3.84
38.10195589065552,3.04,-0.28,-2.0,3.64
38.103293895721436,2.22,-0.5,-2.62,3.47
38.10462498664856,1.22,-0.73,-2.53,2.9
38.10601091384888,0.34,-0.45,-2.72,2.77
38.11064100265503,0.22,-0.54,-3.75,3.79
38.11198902130127,1.77,-1.58,-4.4,4.99
38.11332893371582,3.96,-3.03,-3.75,6.23
38.11467218399048,4.47,-4.61,-1.59,6.61
38.11601209640503,2.84,-5.18,1.74,6.15
38.11736488342285,0.89,-5.66,4.75,7.44
38.118741035461426,-0.18,-6.63,5.18,8.41
38.12007713317871,-0.77,-6.33,4.3,7.69
38.121416091918945,-1.02,-5.27,5.18,7.45
38.122801065444946,0.08,-5.46,4.53,7.09
38.126986026763916,0.69,-4.83,2.73,5.59
38.128350019454956,1.11,-4.0,2.05,4.62
38.12969207763672,1.73,-3.5,0.35,3.91
38.13124108314514,1.95,-2.91,-2.01,4.03
38.13263201713562,0.45,-1.12,-3.65,3.84
38.13398599624634,-1.27,0.34,-3.33,3.58
38.135359048843384,-2.32,-0.85,0.83,2.6
38.1367130279541,-3.19,-3.18,8.14,9.3
38.138087034225464,-3.39,-4.71,11.9,13.23
38.13938808441162,-2.38,-4.71,9.87,11.19
38.14379119873047,-0.55,-3.72,5.61,6.75
38.1451370716095,0.72,-1.99,1.04,2.35
38.14648389816284,0.02,-0.02,-2.06,2.06
38.14785194396973,-2.65,1.12,-3.95,4.88
38.149208068847656,-5.45,1.64,-4.0,6.95
38.150575160980225,-6.49,1.74,-2.75,7.26
38.1519250869751,-5.05,0.6,-1.26,5.23
38.15326809883118,-3.65,0.78,1.01,3.86
38.15461301803589,-2.47,1.09,2.09,3.41
38.15599298477173,-1.74,2.34,0.95,3.06
38.16039514541626,-1.3,3.81,-1.95,4.47
38.16176986694336,-1.21,4.85,-5.16,7.18
38.16313695907593,-1.61,5.27,-6.67,8.65
38.16448497772217,-1.47,4.49,-7.74,9.06
38.165826082229614,-1.32,2.77,-7.86,8.43
38.16716194152832,-1.35,1.71,-5.8,6.19
38.16851806640625,-0.91,0.14,-2.21,2.39
38.169857025146484,-1.31,0.82,-2.0,2.52
38.17119002342224,-0.81,1.69,1.06,2.15
38.17255401611328,-1.81,3.47,6.91,7.94
38.17692804336548,-1.47,2.69,8.46,8.99
38.17829895019531,-1.72,1.58,5.79,6.24
38.179636001586914,-5.3,2.94,2.45,6.53
38.180984020233154,0.73,-1.23,-0.58,1.54
38.18233013153076,4.14,-1.81,-3.35,5.62
38.18367910385132,2.12,2.02,-4.62,5.46
38.18500518798828,0.2,1.47,-1.87,2.38
38.18635892868042,-2.06,-0.45,-0.12,2.11
38.18772315979004,-3.53,-1.67,0.03,3.9
38.18909311294556,-2.96,-3.17,-0.47,4.36
38.19339895248413,-0.66,-4.27,-0.9,4.41
38.19474792480469,0.87,-3.19,-0.66,3.37
38.19610595703125,1.78,-1.98,-0.64,2.73
38.19746804237366,2.03,-1.67,-1.2,2.88
38.19885802268982,0.16,-1.97,-0.66,2.08
38.200210094451904,-1.9,-2.86,0.29,3.44
38.201547145843506,-2.8,-3.33,0.97,4.45
38.202893018722534,-2.22,-3.55,1.1,4.32
38.204233169555664,-0.13,-4.15,0.15,4.15
38.20558404922485,1.93,-4.23,-0.92,4.73
38.21000909805298,2.71,-3.98,-1.57,5.06
38.2113561630249,2.74,-3.53,-1.62,4.75
38.212701082229614,2.89,-3.65,-1.3,4.83
38.21404409408569,3.59,-4.85,-0.82,6.08
38.21540021896362,3.86,-5.61,-0.56,6.83
38.21690106391907,3.65,-6.59,-0.28,7.53
38.218239068984985,2.8,-7.19,0.14,7.71
38.21958112716675,1.67,-6.79,-0.02,6.99
38.220919132232666,1.53,-5.76,-0.89,6.02
38.222294092178345,2.66,-4.29,-0.52,5.07
38.22366905212402,3.58,-2.35,0.14,4.28
38.22783303260803,3.22,-0.68,-0.63,3.35
38.22917413711548,1.97,-0.61,-2.8,3.47
38.23054003715515,-0.15,-0.9,-3.93,4.03
38.23190498352051,-2.2,-0.55,-1.96,2.99
38.2332501411438,-1.34,-0.94,1.66,2.33
38.23460912704468,0.87,-1.7,4.98,5.33
38.23596906661987,3.21,-1.95,5.65,6.78
38.23731088638306,7.19,-1.36,3.71,8.2
38.238686084747314,8.57,-0.18,2.13,8.83
38.24286699295044,-1.87,-2.95,2.95,4.57
38.244240045547485,-1.82,-3.48,3.31,5.13
38.24551820755005,-1.34,-3.48,3.29,4.97
